closed_at,symbol,side,entry_price,exit_price,qty,pnl,pnl_currency,trade_duration_seconds,entry_time,exit_time,source_type,strategy_name,risk_label,approval_score,ticket,position_id,close_event_key,close_reason,stop_loss,take_profit,max_favorable_excursion,max_adverse_excursion,session,regime,publicly_posted,notes
2026-04-16T03:10:34.000Z,EURUSD,BUY,1.18044,1.1803,0.01,-0.1,USD,2,2026-04-16T03:10:32.000Z,2026-04-16T03:10:34.000Z,validation,validation_breakeven,Low,90,2450014,7834826,mt5-2450014,loss_close,1.17919,1.18157,,,LONDON,validation,false,mt5-history | management=breakeven | Automatically reconciled from mt5-history
2026-04-16T03:10:38.000Z,EURUSD,BUY,1.18044,1.18031,0.02,-0.19,USD,1,2026-04-16T03:10:37.000Z,2026-04-16T03:10:38.000Z,validation,validation_partial-only,Low,90,2450016,7834828,mt5-2450016,partial_close,1.17919,1.19037,,,LONDON,validation,false,mt5-history | management=breakeven|partial_tp | Automatically reconciled from mt5-history
2026-04-16T03:10:39.000Z,EURUSD,BUY,1.18044,1.18031,0.02,-0.19,USD,2,2026-04-16T03:10:37.000Z,2026-04-16T03:10:39.000Z,validation,validation_partial-only,Low,90,2450017,7834828,mt5-2450017,loss_close,1.17919,1.19037,,,LONDON,validation,false,mt5-history | management=breakeven|partial_tp | Automatically reconciled from mt5-history
2026-04-16T03:11:05.000Z,EURUSD,BUY,1.18045,1.18031,0.02,-0.21,USD,1,2026-04-16T03:11:04.000Z,2026-04-16T03:11:05.000Z,validation,validation_partial-trailing,Low,90,2450019,7834831,mt5-2450019,partial_close,1.1769,1.19038,,,LONDON,validation,false,mt5-history | management=breakeven|partial_tp | Automatically reconciled from mt5-history
2026-04-16T03:11:07.000Z,EURUSD,BUY,1.18045,1.18031,0.02,-0.21,USD,3,2026-04-16T03:11:04.000Z,2026-04-16T03:11:07.000Z,validation,validation_partial-trailing,Low,90,2450020,7834831,mt5-2450020,loss_close,1.18,1.19038,,,LONDON,validation,false,mt5-history | management=breakeven|partial_tp|trailing | Automatically reconciled from mt5-history
2026-04-16T16:18:59.000Z,EURUSD,BUY,1.17829,1.17813,0.32,-3.78,USD,50,2026-04-16T16:18:09.000Z,2026-04-16T16:18:59.000Z,strategy,bias,High,95,2455998,7840918,mt5-2455998,stop_loss,1.17862,1.18211,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T16:23:57.000Z,EURUSD,BUY,1.17829,1.17812,0.32,-4.02,USD,293,2026-04-16T16:19:04.000Z,2026-04-16T16:23:57.000Z,strategy,bias,High,95,2456033,7840924,mt5-2456033,stop_loss,1.17862,1.18211,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T16:24:21.000Z,EURUSD,BUY,1.17824,1.17807,0.32,-4.02,USD,21,2026-04-16T16:24:00.000Z,2026-04-16T16:24:21.000Z,strategy,bias,High,95,2456037,7840954,mt5-2456037,loss_close,1.17862,1.18211,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T16:29:22.000Z,EURUSD,BUY,1.17819,1.17803,0.32,-3.78,USD,298,2026-04-16T16:24:24.000Z,2026-04-16T16:29:22.000Z,strategy,bias,High,95,2456053,7840958,mt5-2456053,loss_close,1.17862,1.18211,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T16:30:04.000Z,EURUSD,BUY,1.17814,1.17797,0.32,-4.02,USD,37,2026-04-16T16:29:27.000Z,2026-04-16T16:30:04.000Z,strategy,bias,High,95,2456070,7840976,mt5-2456070,loss_close,1.17862,1.18211,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T16:30:08.000Z,EURUSD,BUY,1.17805,1.17789,0.32,-3.78,USD,2,2026-04-16T16:30:06.000Z,2026-04-16T16:30:08.000Z,strategy,bias,High,95,2456074,7840992,mt5-2456074,stop_loss,1.17794,1.18162,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T16:30:16.000Z,EURUSD,BUY,1.17801,1.17785,0.32,-3.78,USD,1,2026-04-16T16:30:15.000Z,2026-04-16T16:30:16.000Z,strategy,bias,High,95,2456079,7840994,mt5-2456079,stop_loss,1.17794,1.18162,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T16:30:40.000Z,EURUSD,BUY,1.17803,1.17786,0.32,-4.02,USD,17,2026-04-16T16:30:23.000Z,2026-04-16T16:30:40.000Z,strategy,bias,High,95,2456090,7841000,mt5-2456090,stop_loss,1.17794,1.18162,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T16:31:11.000Z,EURUSD,BUY,1.17796,1.1778,0.32,-3.78,USD,24,2026-04-16T16:30:47.000Z,2026-04-16T16:31:11.000Z,strategy,bias,High,95,2456101,7841013,mt5-2456101,stop_loss,1.17794,1.18162,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T16:31:20.000Z,EURUSD,BUY,1.17793,1.17778,0.32,-3.54,USD,2,2026-04-16T16:31:18.000Z,2026-04-16T16:31:20.000Z,strategy,bias,High,95,2456104,7841021,mt5-2456104,stop_loss,1.17794,1.18162,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T16:31:45.000Z,EURUSD,BUY,1.17793,1.17777,0.32,-3.78,USD,19,2026-04-16T16:31:26.000Z,2026-04-16T16:31:45.000Z,strategy,bias,High,95,2456107,7841023,mt5-2456107,stop_loss,1.17794,1.18162,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T16:31:51.000Z,EURUSD,BUY,1.17794,1.17779,0.32,-3.54,USD,1,2026-04-16T16:31:50.000Z,2026-04-16T16:31:51.000Z,strategy,bias,High,95,2456109,7841026,mt5-2456109,stop_loss,1.17794,1.18162,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T16:32:20.000Z,EURUSD,BUY,1.17803,1.17787,0.32,-3.78,USD,21,2026-04-16T16:31:59.000Z,2026-04-16T16:32:20.000Z,strategy,bias,High,95,2456114,7841029,mt5-2456114,stop_loss,1.17794,1.18162,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T16:32:25.000Z,EURUSD,BUY,1.17798,1.17782,0.32,-3.78,USD,2,2026-04-16T16:32:23.000Z,2026-04-16T16:32:25.000Z,strategy,bias,High,95,2456116,7841033,mt5-2456116,stop_loss,1.17794,1.18162,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T16:32:31.000Z,EURUSD,BUY,1.17799,1.17784,0.32,-3.54,USD,0,2026-04-16T16:32:31.000Z,2026-04-16T16:32:31.000Z,strategy,bias,High,95,2456118,7841035,mt5-2456118,stop_loss,1.17794,1.18162,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T16:32:40.000Z,EURUSD,BUY,1.17798,1.17783,0.32,-3.54,USD,0,2026-04-16T16:32:40.000Z,2026-04-16T16:32:40.000Z,strategy,bias,High,95,2456120,7841037,mt5-2456120,stop_loss,1.17794,1.18162,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T16:37:22.000Z,EURUSD,BUY,1.17793,1.17777,0.32,-3.78,USD,274,2026-04-16T16:32:48.000Z,2026-04-16T16:37:22.000Z,strategy,bias,High,95,2456190,7841040,mt5-2456190,stop_loss,1.17794,1.18162,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T17:15:13.000Z,EURUSD,BUY,1.17788,1.17771,0.32,-4.02,USD,6,2026-04-16T17:15:07.000Z,2026-04-16T17:15:13.000Z,strategy,bias,High,95,2457543,7842420,mt5-2457543,stop_loss,1.17773,1.18257,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T17:20:43.000Z,EURUSD,BUY,1.17758,1.17743,0.32,-3.55,USD,25,2026-04-16T17:20:18.000Z,2026-04-16T17:20:43.000Z,strategy,bias,High,95,2457723,7842582,mt5-2457723,stop_loss,1.17773,1.18257,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T17:22:32.000Z,EURUSD,BUY,1.17757,1.17742,0.32,-3.55,USD,103,2026-04-16T17:20:49.000Z,2026-04-16T17:22:32.000Z,strategy,bias,High,95,2457754,7842608,mt5-2457754,stop_loss,1.17773,1.18257,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T17:27:03.000Z,EURUSD,BUY,1.17774,1.17758,0.32,-3.79,USD,40,2026-04-16T17:26:23.000Z,2026-04-16T17:27:03.000Z,strategy,bias,High,95,2457881,7842760,mt5-2457881,stop_loss,1.17773,1.18257,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T17:27:56.000Z,EURUSD,BUY,1.17773,1.17757,0.32,-3.79,USD,52,2026-04-16T17:27:04.000Z,2026-04-16T17:27:56.000Z,strategy,bias,High,95,2457900,7842769,mt5-2457900,stop_loss,1.17773,1.18257,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T17:40:17.000Z,EURUSD,BUY,1.17772,1.17755,0.32,-4.02,USD,738,2026-04-16T17:27:59.000Z,2026-04-16T17:40:17.000Z,strategy,bias,High,95,2458364,7842796,mt5-2458364,stop_loss,1.17773,1.18257,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T17:40:28.000Z,EURUSD,BUY,1.17768,1.17751,0.32,-4.02,USD,10,2026-04-16T17:40:18.000Z,2026-04-16T17:40:28.000Z,strategy,bias,High,95,2458395,7843259,mt5-2458395,stop_loss,1.17779,1.18272,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T17:40:38.000Z,EURUSD,BUY,1.17768,1.17752,0.32,-3.79,USD,4,2026-04-16T17:40:34.000Z,2026-04-16T17:40:38.000Z,strategy,bias,High,95,2458431,7843314,mt5-2458431,stop_loss,1.17779,1.18272,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T17:40:48.000Z,EURUSD,BUY,1.17764,1.17749,0.32,-3.55,USD,5,2026-04-16T17:40:43.000Z,2026-04-16T17:40:48.000Z,strategy,bias,High,95,2458457,7843340,mt5-2458457,stop_loss,1.17779,1.18272,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T17:51:31.000Z,EURUSD,BUY,1.17757,1.17742,0.32,-3.55,USD,639,2026-04-16T17:40:52.000Z,2026-04-16T17:51:31.000Z,strategy,bias,High,95,2458779,7843386,mt5-2458779,stop_loss,1.17779,1.18272,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T17:51:45.000Z,EURUSD,BUY,1.17755,1.17739,0.32,-3.79,USD,6,2026-04-16T17:51:39.000Z,2026-04-16T17:51:45.000Z,strategy,bias,High,95,2458782,7843675,mt5-2458782,stop_loss,1.17763,1.18243,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T17:52:23.000Z,EURUSD,BUY,1.17753,1.17737,0.32,-3.79,USD,36,2026-04-16T17:51:47.000Z,2026-04-16T17:52:23.000Z,strategy,bias,High,95,2458787,7843677,mt5-2458787,stop_loss,1.17763,1.18243,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T17:52:30.000Z,EURUSD,BUY,1.17749,1.17733,0.32,-3.79,USD,3,2026-04-16T17:52:27.000Z,2026-04-16T17:52:30.000Z,strategy,bias,High,95,2458789,7843682,mt5-2458789,stop_loss,1.17763,1.18243,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T17:52:55.000Z,EURUSD,BUY,1.17748,1.17732,0.32,-3.79,USD,20,2026-04-16T17:52:35.000Z,2026-04-16T17:52:55.000Z,strategy,bias,High,95,2458793,7843684,mt5-2458793,stop_loss,1.17763,1.18243,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T17:53:00.000Z,EURUSD,BUY,1.17744,1.17728,0.32,-3.79,USD,1,2026-04-16T17:52:59.000Z,2026-04-16T17:53:00.000Z,strategy,bias,High,95,2458795,7843688,mt5-2458795,stop_loss,1.17763,1.18243,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T17:53:15.000Z,EURUSD,BUY,1.17744,1.17728,0.32,-3.79,USD,7,2026-04-16T17:53:08.000Z,2026-04-16T17:53:15.000Z,strategy,bias,High,95,2458797,7843690,mt5-2458797,stop_loss,1.17763,1.18243,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T17:53:19.000Z,EURUSD,BUY,1.17742,1.17725,0.32,-4.02,USD,3,2026-04-16T17:53:16.000Z,2026-04-16T17:53:19.000Z,strategy,bias,High,95,2458799,7843692,mt5-2458799,stop_loss,1.17763,1.18243,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T17:53:28.000Z,EURUSD,BUY,1.17743,1.17727,0.32,-3.79,USD,3,2026-04-16T17:53:25.000Z,2026-04-16T17:53:28.000Z,strategy,bias,High,95,2458802,7843695,mt5-2458802,stop_loss,1.17763,1.18243,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T17:53:37.000Z,EURUSD,BUY,1.17739,1.17723,0.32,-3.79,USD,4,2026-04-16T17:53:33.000Z,2026-04-16T17:53:37.000Z,strategy,bias,High,95,2458804,7843697,mt5-2458804,stop_loss,1.17763,1.18243,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T17:53:46.000Z,EURUSD,BUY,1.17741,1.17725,0.32,-3.79,USD,4,2026-04-16T17:53:42.000Z,2026-04-16T17:53:46.000Z,strategy,bias,High,95,2458806,7843699,mt5-2458806,stop_loss,1.17763,1.18243,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T17:54:05.000Z,EURUSD,BUY,1.17739,1.17724,0.32,-3.55,USD,15,2026-04-16T17:53:50.000Z,2026-04-16T17:54:05.000Z,strategy,bias,High,95,2458808,7843701,mt5-2458808,stop_loss,1.17763,1.18243,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T17:54:15.000Z,EURUSD,BUY,1.17735,1.17718,0.32,-4.02,USD,8,2026-04-16T17:54:07.000Z,2026-04-16T17:54:15.000Z,strategy,bias,High,95,2458810,7843703,mt5-2458810,stop_loss,1.17763,1.18243,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T17:54:29.000Z,EURUSD,BUY,1.17731,1.17715,0.32,-3.79,USD,13,2026-04-16T17:54:16.000Z,2026-04-16T17:54:29.000Z,strategy,bias,High,95,2458812,7843705,mt5-2458812,stop_loss,1.17763,1.18243,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T17:54:41.000Z,EURUSD,BUY,1.17724,1.17709,0.32,-3.55,USD,9,2026-04-16T17:54:32.000Z,2026-04-16T17:54:41.000Z,strategy,bias,High,95,2458814,7843707,mt5-2458814,loss_close,1.17763,1.18243,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T17:55:00.000Z,EURUSD,BUY,1.17723,1.17707,0.32,-3.79,USD,19,2026-04-16T17:54:41.000Z,2026-04-16T17:55:00.000Z,strategy,bias,High,95,2458820,7843709,mt5-2458820,loss_close,1.17763,1.18243,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T17:55:05.000Z,EURUSD,BUY,1.17718,1.17702,0.32,-3.79,USD,0,2026-04-16T17:55:05.000Z,2026-04-16T17:55:05.000Z,strategy,bias,High,95,2458825,7843718,mt5-2458825,loss_close,1.17763,1.18243,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T17:55:14.000Z,EURUSD,BUY,1.17723,1.17706,0.32,-4.02,USD,0,2026-04-16T17:55:14.000Z,2026-04-16T17:55:14.000Z,strategy,bias,High,95,2458829,7843722,mt5-2458829,loss_close,1.17763,1.18243,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T17:55:22.000Z,EURUSD,BUY,1.17719,1.17702,0.32,-4.02,USD,0,2026-04-16T17:55:22.000Z,2026-04-16T17:55:22.000Z,strategy,bias,High,95,2458831,7843724,mt5-2458831,loss_close,1.17763,1.18243,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T17:55:33.000Z,EURUSD,BUY,1.17716,1.17701,0.32,-3.55,USD,2,2026-04-16T17:55:31.000Z,2026-04-16T17:55:33.000Z,strategy,bias,High,95,2458833,7843726,mt5-2458833,loss_close,1.17763,1.18243,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T17:55:39.000Z,EURUSD,BUY,1.17714,1.17699,0.32,-3.55,USD,0,2026-04-16T17:55:39.000Z,2026-04-16T17:55:39.000Z,strategy,bias,High,95,2458836,7843729,mt5-2458836,loss_close,1.17763,1.18243,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T17:55:51.000Z,EURUSD,BUY,1.17718,1.17703,0.32,-3.55,USD,3,2026-04-16T17:55:48.000Z,2026-04-16T17:55:51.000Z,strategy,bias,High,95,2458840,7843733,mt5-2458840,loss_close,1.17763,1.18243,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T17:56:00.000Z,EURUSD,BUY,1.17716,1.177,0.32,-3.79,USD,4,2026-04-16T17:55:56.000Z,2026-04-16T17:56:00.000Z,strategy,bias,High,95,2458842,7843735,mt5-2458842,loss_close,1.17763,1.18243,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T17:56:05.000Z,EURUSD,BUY,1.1771,1.17694,0.32,-3.79,USD,0,2026-04-16T17:56:05.000Z,2026-04-16T17:56:05.000Z,strategy,bias,High,95,2458844,7843737,mt5-2458844,loss_close,1.17763,1.18243,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T17:57:07.000Z,EURUSD,BUY,1.17709,1.17692,0.32,-4.02,USD,54,2026-04-16T17:56:13.000Z,2026-04-16T17:57:07.000Z,strategy,bias,High,95,2458852,7843739,mt5-2458852,loss_close,1.17763,1.18243,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T17:57:44.000Z,EURUSD,BUY,1.17703,1.17687,0.32,-3.79,USD,35,2026-04-16T17:57:09.000Z,2026-04-16T17:57:44.000Z,strategy,bias,High,95,2458863,7843747,mt5-2458863,loss_close,1.17763,1.18243,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T20:14:36.000Z,EURUSD,BUY,1.17698,1.17682,0.32,-3.79,USD,8207,2026-04-16T17:57:49.000Z,2026-04-16T20:14:36.000Z,strategy,bias,High,95,2460103,7843760,mt5-2460103,loss_close,1.17763,1.18243,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T23:45:01.000Z,EURUSD,BUY,1.18064,1.17818,0.68,-123.68,USD,53097,2026-04-16T09:00:04.000Z,2026-04-16T23:45:01.000Z,strategy,bias,High,90,2461248,7836012,mt5-2461248,loss_close,1.17659,1.18528,,,LONDON,UNSTABLE,false,mt5-history | Automatically reconciled from mt5-history
2026-04-17T00:02:01.000Z,EURUSD,SELL,1.17818,1.17808,0.16,1.18,USD,1020,2026-04-16T23:45:01.000Z,2026-04-17T00:02:01.000Z,strategy,bias,High,98,2461396,7846182,mt5-2461396,partial_close,1.17947,1.17672,,,NEWYORK,TRENDING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-17T04:05:21.000Z,EURUSD,SELL,1.17818,1.1777,0.08,2.84,USD,15620,2026-04-16T23:45:01.000Z,2026-04-17T04:05:21.000Z,strategy,bias,High,98,2462384,7846182,mt5-2462384,partial_close,1.1785,1.17672,,,NEWYORK,TRENDING,false,mt5-history | management=breakeven|partial_tp | Automatically reconciled from mt5-history
2026-04-17T06:42:55.000Z,EURUSD,SELL,1.17818,1.17809,0.08,0.53,USD,25074,2026-04-16T23:45:01.000Z,2026-04-17T06:42:55.000Z,strategy,bias,High,98,2462856,7846182,mt5-2462856,take_profit_or_profit_close,1.17809,1.17709,,,NEWYORK,TRENDING,false,mt5-history | management=breakeven|partial_tp | Automatically reconciled from mt5-history
2026-04-20T15:15:55.000Z,XAUUSD,SELL,4808.2,4808.64,0.41,-13.36,USD,7,2026-04-20T15:15:48.000Z,2026-04-20T15:15:55.000Z,strategy,bias,Low,83,2476254,8132562,mt5-2476254,loss_close,4802.04,4765.94,,,LONDON|NEWYORK,UNSTABLE,false,mt5-history | Automatically reconciled from mt5-history
